text,label
"Special drones are being released into the atmosphere to control the weather.",1
"Scientists have discovered a new species of deep-sea jellyfish in the Pacific Ocean.",0
"Eating apple seeds can give you instant cyanide poisoning because they are pure poison.",1
"The local library is extending its weekend hours to accommodate more students.",0
"A secret organization has been controlling global energy prices since the 1970s.",1
"Recent studies show that regular exercise improves cardiovascular health in adults.",0
"Drinking hot lemon water at exactly 5 AM will cure all types of viral infections.",1
"The city council approved the construction of a new park in the downtown area.",0
"The moon is actually an artificial satellite built by ancient civilizations.",1
"NASA's Mars rover has successfully collected its latest soil sample for analysis.",0
"Government agencies are using common street lights to track civilian movements via infrared.",1
"Electric vehicles are becoming more affordable as battery technology improves.",0
"New evidence suggests that the pyramids were built using anti-gravity technology.",1
"The annual film festival will feature a diverse selection of international documentaries.",0
"A clandestine group is planning to replace all physical currency with a digital social credit system next month.",1
"Wildflower blooms are expected to be particularly vibrant this spring due to heavy winter rains.",0
